Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1870,4,6,19,30,,2,0,,0,NEW ZEALAND,WELLINGTON,-41.29,174.78,0.6,1,,,,,,,,,,
1870,4,29,,,,-1,,,0,NEW ZEALAND,WESTPORT,-41.75,171.58,,0,,,,,,,,,,
1870,5,11,23,30,,3,1,7.9,0,MEXICO,"PUERTO ANGEL, MEXICO",15.4,-96.3,,1,,,24,,,20,,3,,
1870,6,9,13,10,,2,1,,0,GUADELOUPE (FRENCH TERRITORY),GUADELOUPE,,,,0,,,,,,,,1,,
1870,6,24,,,,3,1,,0,EGYPT,ALEXANDRIA,36,26,,1,,3,,,,,,1,,
1870,7,29,,,,2,1,,0,CROATIA,ADRIATIC SEA,43.03,16.15,,1,,3,,,,,,,,
1870,8,1,0,45,,1,1,7,0,GREECE,IONIAN SEA,38.5,22.5,,1,,4,100,,,,,2,,
1870,8,6,,,,3,1,,0,CROATIA,ADRIATIC SEA,,,,0,,,,,,,,,,
1870,8,12,,,,1,0,,0,AUSTRALIA,SYDNEY HARBOR,-33.8,151.3,,0,,-1,,,,,,,,
1870,10,20,,,,2,3,,0,CANADA,"CAPE TRINITY, QUEBEC",47.4,-70.5,,0,,,2,,,,,1,16,
1870,10,28,9,45,,3,1,,0,ITALY,TYRRHENIAN SEA,39.28,16.28,,0,,,,,,,,,,
1870,11,2,3,30,,2,1,,0,ITALY,CALABRIAN ARC,,,,0,,,,,,,,,,
1871,1,17,,,,1,1,,0,ITALY,LIGURIAN SEA,,,,0,,4,,,,,,,,
1871,2,5,,,,2,1,,0,PERU,S. PERU,-13.65,-76.4,,1,,1,,,,,,,,
1871,2,7,,,,2,1,,0,MEXICO,S. MEXICO,18.2,-94.5,0.3,1,,,,,,,,,,
1871,2,18,,,,-1,0,,0,USA,HAWAII,,,,0,,,,,,,,,,
1871,2,20,8,41,,1,1,7,0,USA,HAWAII,20.7,-157,,1,,,,,,,,2,,
1871,3,3,,,,4,6,,1,INDONESIA,RUANG,2.28,125.425,25,5,4.6,3.5,400,,,,,2,75,
1871,3,25,,,,2,1,7.5,0,CHILE,CENTRAL CHILE,-35,-72.5,1,2,,0.5,,,,,,3,,
1871,3,,,,,1,0,,0,NEW ZEALAND,WESTPORT,-41.75,171.58,,0,,,,,,,,,,
1871,4,30,,,,1,6,,0,PHILIPPINES,SULU SEA,9.203,124.673,,1,,2,,,,,,3,,
1871,6,18,0,0,0,2,1,,0,USA,"LONG ISLAND, NEW YORK",40.5,-73.9,,1,,,,,,,,,,
1871,8,20,,,,2,1,,0,CHILE,CENTRAL CHILE,-33.1,-71.7,,2,-1,0.5,,,,,,,,
1871,8,21,,,,2,1,7,0,PERU,S. PERU,-13,-77,,2,1,1,,,,,,,,
1871,8,25,,,,1,1,,0,INDONESIA,N. MOLUCCAS ISLANDS,0.5,123,,1,,0,,,,,,,,
1871,8,,,,,1,0,,0,NEW ZEALAND,"HOKITIKA RIVER, SOUTH ISLAND",-42.72,170.96,,0,,,,,,,,,,
1871,9,7,,,,1,0,,0,FRANCE,NORTHERN FRANCE: ILLE-ET-VILAINE,48.7,-2,,1,,,,,,,,,,
1871,10,5,9,,,-1,1,,0,CHILE,NORTHERN CHILE,,,,0,,,,,,,,,,
1871,10,5,,,,1,0,,0,GREECE,CORINTH GULF,,,,0,,,,,,,,,,
1871,12,28,,,,2,1,,0,CHILE,SOUTHERN CHILE,-41.5,-73,,1,,0.5,,,,,,,,
1872,1,10,,,,1,1,6.5,0,PERU,S. PERU,-16.4,-71.5,,1,,0,,,,,,,,
1872,1,13,,,,-1,9,,0,USA,HAWAII,,,,1,,,,,,,,,,
1872,1,22,,,,-1,9,,0,USA,HAWAII,,,,1,,,,,,,,,,
1872,1,26,,,,3,1,6,0,PHILIPPINES,PHILIPPINES,16,119,,1,,1.5,,,,,,1,,
1872,3,14,8,20,,4,1,7.4,0,JAPAN,SW. HONSHU ISLAND,34.9,132,3,12,1.5,1,804,,,200,,1,5796,
1872,3,26,10,30,,-1,1,7.3,1,USA,S. CALIFORNIA,36.7,-118.1,,1,,,,,,,,,,
1872,4,3,5,45,,3,1,7.3,0,TURKEY,SAMANDAG (SUAIDIYA),36.2,36.2,,1,,3,1800,,,,,3,,
1872,6,13,,,,1,0,,0,USA,LAKE ONTARIO,43.5,-78,0.6,1,,,,,,,,,,
1872,8,23,18,6,,4,1,,0,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.2,-168.5,1.3,8,1.6,0,,,,,,,,
1872,8,27,,,,-1,0,,0,USA,HAWAII,,,,0,,,,,,,,,,
1872,9,16,,,,3,0,,0,USA,"SAN FRANCISCO, N. CALIFORNIA",,,0.1,2,,0,,,,,,,,
1872,11,17,,,,2,1,,0,USA,"PENOBSCOT BAY, MAINE",44.183,-68.917,0.51,2,,,,,,,,,,
1872,,,,,,4,1,,0,ICELAND,ICELAND,,,,0,,,,,,,,,,
1872,,,,,,3,1,,0,JAPAN,BONIN ISLANDS [CHICHIJIMA ISLAND],27.07,142.21,,1,,2,,,,,,1,,
1873,7,7,,,,-1,1,,0,CHILE,NC. CHILE/ SC. CHILE,,,,0,,,,,,,,,,
1873,10,13,,,,1,1,,0,PANAMA,PANAMA CITY,8.96,-79.53,,2,,,,,,,,,,
1873,10,25,22,38,,-1,1,,0,GREECE,IONIAN SEA,,,,0,,,,,,,,,,
1873,11,19,,,,1,1,,0,CHILE,NORTHERN CHILE,-23.6,-70.4,,1,,2,,,,,,,,
1873,11,23,5,9,,3,3,6.7,0,USA,N. CALIFORNIA,42,-124,3.05,1,,,,,,,,,,
1873,,,,,,3,1,8,0,PAPUA NEW GUINEA,MACLAY COAST,-5.5,146,,1,1,2,,,,,,2,,
1874,3,11,,,,2,1,,0,USA TERRITORY,VIRGIN ISLANDS,18.1,-65.1,,2,,,,,,,,,,
1874,5,,,,,2,1,,0,BANGLADESH,SUNDERBANS,22,89,,1,,,2000,,,,,,,
1874,5,,,,,3,8,,0,USA,"LITUYA BAY, AK",58.64,-137.57,24.38,1,,,,,,,,,,
1874,5,,,,,-1,1,,0,INDONESIA,N. MOLUCCAS ISLANDS,,,,0,,,,,,,,,,
1874,10,13,,,,1,0,,0,AUSTRALIA,TASMANIA,-43.328,145.9,,1,,,,,,,,,,
1875,2,23,,,,1,1,,0,MEXICO,S. MEXICO,20,-105,,1,,,,,,,,,,
1875,3,18,18,0,51,4,1,,0,ITALY,ADRIATIC SEA,44.2,12.4,,0,,4,,,,,,,,
1875,3,28,,,,3,1,8,0,NEW CALEDONIA,"LIFOU ISLAND, LOYALTY ISLANDS",-20,168.5,4,5,2,2.5,25,,,25,,3,,
1875,5,10,,,,2,1,7,0,VANUATU,VANUATU ISLANDS,-18.5,168,,1,,0.5,,,,,,,,
1875,10,12,,,,-1,9,,0,USA,N. CALIFORNIA,,,,1,,,,,,,,,,
1875,,,,,,2,1,7,0,PAPUA NEW GUINEA,BISMARCK SEA,-6,147,,2,,,,,,,,,,
1876,5,28,,,,3,1,6.8,0,INDONESIA,CERAM SEA,-3,127.25,0.3,1,,-1,,,,,,1,,
1876,10,26,,,,2,2,,0,JAPAN,RYUKYU ISLANDS,,,,1,,1,,,,,,,,
1876,12,23,,,,3,0,,0,ITALY,LIGURIAN SEA,,,,0,,,,,,,,,,
1876,,,,,,-1,9,,0,INDIA,BAY OF BENGAL,,,,0,,,,,,,,,,
1877,2,2,,,,-1,4,,0,USA,S.W. COAST OF HAWAII,,,,0,,,,,,,,,,
1877,2,24,,,,2,4,,0,USA,S.W. COAST OF HAWAII,19.475,-155.608,,2,,0.5,,,,,,,,
1877,4,16,,,,1,9,,0,USA,N. TO S. CALIFORNIA,35,-120,1.8,2,1.8,2,,,,,,,,
1877,5,4,,,,1,6,,0,USA,HAWAII,19.475,-155.608,,1,,1,,,,,,,,
1877,5,10,0,59,,4,1,8.3,0,CHILE,NORTHERN CHILE,-21.5,-70.5,24,108,4.4,3.5,2385,,,,,3,,
1877,5,14,,,,2,1,,0,PERU,CENTRAL PERU,-12.07,-77.15,,1,,1,,,,,,,,
1877,5,15,,,,2,1,,0,CHILE,NORTHERN CHILE,-21.2,-70.1,,1,,,,,,,,,,
1877,6,15,,,,1,1,,0,CHILE,NORTHERN CHILE,-19.6,-70.2,,1,,,,,,,,,,
1877,8,23,,,,3,1,,0,CHILE,NORTHERN CHILE,-20.2,-70.1,1,1,,0.5,,,,,,,,
1877,9,2,,,,1,0,,0,CHILE,CENTRAL CHILE,-33,-71.6,,1,,0.5,,,,,,,,
1877,9,,,,,1,2,,0,VIETNAM,BINH THUAN,10.8,108.3,,1,,,,,,,,,,
1877,10,9,,,,1,1,,0,CHILE,NORTHERN CHILE,-24,-71,,2,,0.5,,,,,,,,
1877,10,11,,,,2,1,,0,COLOMBIA,BUENAVENTURA,3.88,-77.08,,2,,,,,,,,,,
1877,12,1,8,30,,2,0,,0,NEW ZEALAND,WAIPIRO BAY,-38.02,178.33,,0,,,,,,,,,,
1878,1,10,,,,3,1,7.5,2,VANUATU,TANNA ISLAND,-19,168.5,12,1,3.6,3,,,,,,1,,
1878,1,14,,,,-1,9,,0,USA,CALIFORNIA,,,,4,,,,,,,,1,,
1878,1,20,,,,3,1,,0,USA,"ALEUTIAN ISLANDS, AK",,,3.6,5,1.6,1.5,,,,,,1,3,
1878,1,23,12,5,,1,1,7.9,0,CHILE,NORTHERN CHILE,-19.92,-70.335,,2,,,,,,,,3,,
1878,1,27,,,,3,0,,0,PERU,CENTRAL PERU,-12,-77,,1,,1.5,5,,,,,,,
1878,1,28,,,,1,0,,0,CHILE,CENTRAL CHILE,-33,-71.6,,5,,1.5,,,,,,1,,
1878,2,3,,,,1,0,,0,CHILE,NORTHERN CHILE,-20.2,-70.1,,2,,,,,,,,,,
1878,2,4,,,,3,1,,1,PAPUA NEW GUINEA,BISMARCK SEA,-4.25,152.25,,1,2,1,1,,,,,,,
1878,2,4,,,,1,1,,0,PERU,CENTRAL PERU,-12,-77,,1,,,,,,,,,,
1878,2,11,,,,3,1,8,0,VANUATU,TANNA ISLAND,-19,168.5,,1,1,1.5,,,,,,,,
1878,2,14,,,,2,1,,0,CHILE,CENTRAL CHILE,-36.8,-73,,1,-0.5,0,,,,,,,,
1878,3,12,,,,2,1,,0,CHILE,NORTHERN CHILE,-20.2,-70.1,,1,-0.5,0,,,,,,,,
1878,4,12,,,,2,1,,0,CHILE,NORTHERN CHILE,-20.2,-70.1,,1,,0.5,,,,,,,,
1878,4,19,9,,,1,1,6.6,0,TURKEY,GULF OF IZMIT,40.7,29.7,,1,,3,40,,,500,,2,,
1878,6,12,,,,2,1,,0,CHILE,NORTHERN CHILE,-23.7,-70.4,,1,,0,,,,,,,,
1878,6,30,,,,2,0,,0,CHILE,NORTHERN CHILE,-18.3,-70.5,,0,,0,,,,,,,,
1878,8,29,,,,1,4,,1,USA,"UNALASKA ISLAND, AK",54,-167,,1,1,1.5,,,,,,,,
1878,8,,,,,1,6,,0,INDONESIA,TAGRILAND ISLAND,,,,0,,,,,,,,,,
1878,8,,,,,1,1,,0,VANUATU,TANNA ISLAND,-19,168.5,,0,,,,,,,,,,
1878,9,30,,,,1,0,,0,CHILE,NORTHERN CHILE,-20.2,-70.2,,2,,0.5,,,,,,,,
1878,10,11,,,,1,0,,0,RUSSIA,TATAR STRAIT,,,,0,,,,,,,,,,
1878,11,22,,,,3,8,,0,USA,S. CALIFORNIA,35.18,-120.731,1,9,2,1.5,1,,,,,1,,
1878,11,23,,,,2,0,,0,CHILE,CENTRAL CHILE,-33,-71.6,,1,,0.5,,,,,,,,
1879,2,4,,,,1,6,,0,ITALY,STROMBOLI ISLAND,38.789,15.213,,0,,,,,,,,,,
1879,4,27,6,45,,2,0,,0,NEW ZEALAND,GREYMOUTH,-42.45,171.21,0.9,1,,,,,,,,,,
1879,7,11,18,,,3,1,5.9,0,EGYPT,GULF OF SUEZ,29,33,,1,,,,,,,,,,
1879,7,29,,,,-1,1,,0,CROATIA,ADRIATIC SEA,,,,0,,3,,,,,,,,
1879,8,8,,,,2,0,,0,CHILE,CENTRAL CHILE,-33,-71.6,,1,,1.5,,,,,,,,
1879,8,10,21,7,,2,3,,0,USA,S. CALIFORNIA,34.227,-118.433,,1,,,,,,,,,,
1879,,,,,,1,0,,0,USA,"OFF COAST NANTUCKET, MASSACHUSETTS",41.28,-70.08,,1,,,,,,,,,,
1880,4,14,,,,3,8,,0,NORWAY,WESTERN NORWAY,62.083,7.117,,0,,3,,,,,,,,
1880,4,26,7,45,,1,1,,0,ITALY,CALIBRIAN ARC,37.27,14.68,,0,,,,,,,,,,
1880,7,18,4,40,,4,3,7.5,0,PHILIPPINES,E. LUZON ISLAND,16,121.85,,2,,0,20,,,50,,3,,
1880,8,15,12,48,,1,1,7.7,0,CHILE,CENTRAL CHILE,-31.62,-71.18,,2,,0.5,2,,,,,3,600,
1880,9,2,,,,1,1,,0,GREECE,IONIAN SEA,,,,0,,,,,,,,,,
1880,9,8,9,30,,3,1,7,0,NEW ZEALAND,GISBORNE,-38.85,178.85,,1,,,,,,,,,,
1880,9,23,,,,1,0,,0,AUSTRALIA,SYDNEY HARBOR,-33.8,151.3,0.08,0,,,,,,,,,,
1880,9,29,4,,,3,1,6.3,0,USA,"CHIRIKOF ISLAND, AK",55.8,-155.6,,2,,,,,,,,,,
1880,10,26,22,20,,3,3,6.3,0,USA,"SITKA, AK",57,-136,1.8,2,5.9,0,,,,,,,,
1880,11,,,,,1,1,,0,JAPAN,"TOYAMA PREF., JAPAN",36.7,137.3,,0,1,1,,,,,,,,
1881,4,3,11,40,,3,1,6.5,0,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",38.2,26.2,,0,,2,7866,,,,,4,,
1881,4,11,,,,1,1,,0,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",38.2,26.2,,0,,,,,,,,,,
1881,6,29,,,,3,1,,0,NEW ZEALAND,PIGEON BAY (BANKS PENINSULA),-43.69,172.9,3,2,,,,,,,,1,,
1881,7,12,,,,2,1,,0,FIJI,FIJI ISLANDS,-16,179,0.46,1,1,1,,,,,,,,
1881,7,14,,,,3,1,,0,CHILE,NORTHERN CHILE,-20.2,-70.1,1.4,1,0.5,1,,,,,,,,
1881,8,12,,,,1,1,,0,JAMAICA,KINGSTON,17.97,-76.8,0.46,1,,,,,,,,,,
1881,10,25,,,,2,1,7,0,JAPAN,HOKKAIDO ISLAND,43.3,147.3,,2,,1.5,,,,,,,,
1881,10,27,,,,2,1,,0,CHILE,NORTHERN CHILE,-19.6,-70.2,,1,,,,,,,,,,
1881,11,24,,,,1,1,,0,TONGA,ISLAND OF TONGATAPU,,,,0,,,,,,,,,,
1881,12,15,20,,,2,8,,0,GREECE,AETOLIKO LAGOON,38.4,21.4,2,0,,3,,,,,,,,
1881,12,31,,,,3,1,7.9,1,INDIA,BAY OF BENGAL: W OF CAR NICOBAR IS,8.52,92.43,1.22,11,0.3,,,,,,,3,,
1882,1,,,,,3,1,,0,SRI LANKA,SRI LANKA,8.567,81.233,,1,,,,,,,,,,
1882,2,23,,,,2,1,,0,CHILE,CENTRAL CHILE,-33.58,-71.63,,1,,,,,,,,,,
1882,4,13,,,,2,1,,0,NEW ZEALAND,"GLENBURN, WAIRARAPA",-41.32,175.84,1.2,1,,,,,,,,,,
1882,7,,,,,2,2,,1,VIETNAM,BINH THUAN,10.8,108.1,,1,,,,,,,,,,
1882,9,7,7,50,,4,3,7.9,0,PANAMA,SAN BLAS ARCHIPELAGO,10,-79,3,3,,1,,,,,,3,,
1882,9,14,,,,2,1,,0,CHILE,NORTHERN CHILE,-19.6,-70.2,,1,,,,,,,,,,
1882,10,10,,,,3,1,7.5,0,INDONESIA,BANDA SEA,-4.5,129.9,,1,,0.5,,,,,,,,
1882,12,9,,,,0,1,6.2,0,TAIWAN,SOUTH CHINA SEA,24.5,120.5,,0,,,8,,,3,,1,40,
1882,,,,,,-1,,,0,CHINA,HUBEI PROVINCE,,,,0,,,,,,,,,,
1883,3,12,,,,3,0,,0,MEXICO,S. MEXICO,,,,1,,2,,,,,,,,
1883,3,24,,,,2,2,,0,SAMOA,SAMOA,,,,1,,1,,,,,,1,,
1883,5,20,,,,1,0,,0,INDONESIA,"HORN ISLAND [AYER ISLAND], JAKARTA",-6.004,106.781,,0,,1,,,,,,,,
1883,5,31,,,,1,0,,0,INDONESIA,BANKA ISLAND,-2.25,106,,1,,0,,,,,,,,
1883,6,27,,,,2,1,,0,GREECE,IONIAN ISLANDS,39.5,20,,0,,3,,,,,,,,
1883,8,27,2,59,,4,6,,14,INDONESIA,KRAKATAU,-6.102,105.423,41,101,5.1,4,36417,,,,,4,,
1883,10,6,19,4,,4,7,,8,USA,"COOK INLET, AK",59.4,-153.4,9.14,3,3.2,3,8,,,,,1,,
1883,10,10,,,,2,6,,0,INDONESIA,JAVA-S. JAVA,-6.102,105.423,,1,,0,,,,,,,,
1883,11,14,,,,1,0,,0,USA,"PUUNALUU, HAWAII",19.133,-155.505,,0,,,,,,,,1,,
1884,1,14,,,,2,0,,0,URUGUAY,MONTEVIDEO,-34.917,-56.167,,1,,,,,,,,,,
1884,1,25,,,,-1,0,,0,USA,N. CALIFORNIA,38,-122,,1,,,,,,,,,,
1884,1,,,,,1,1,,0,FIJI,MACUATA,-16,179,,1,,,,,,,,1,,
1884,2,,,,,2,6,,0,INDONESIA,KRAKATAU,-6.102,105.423,,0,,0,,,,,,,,
1884,7,20,9,30,,4,1,6.2,0,ERITREA,OFFSHORE MASSAWA,15.7,39.6,,1,,,,,,,,2,,
1884,8,10,19,7,,2,1,5.5,0,USA,"ROCKAWAY BEACH, NEW YORK",40.6,-73.75,1.8,9,,,,,,,,,,
1884,9,19,,,,0,0,,0,USA,"IN THE DETROIT RIVER, MI",42.35,-82.95,,1,,,,,,,,,,
1884,11,5,,,,1,1,7.5,0,PANAMA,GULF OF PANAMA,7.5,-79,,3,,,,,,,,2,,
1884,11,12,,,,1,9,,0,USA,N. CALIFORNIA,40,-122,0.1,1,,-3,,,,,,,,
1884,11,15,,,,-1,9,,0,JAPAN,OKAYAMA PREFECTURE,,,,2,,0,,,,,,,,
1884,12,21,,,,1,1,,0,USA,"NEW HAVEN, CT",41.31,-72.92,2.4,3,,,,,,,,,,
1885,1,16,8,,,3,0,,0,FRANCE,LIGURIAN SEA,,,,0,,4,,,,,,,,
1885,1,29,7,30,,1,2,,0,ALGERIA,ALGERIA,36.85,4.53,,0,,,,,,,,,,
1885,4,30,,,,3,1,7.3,0,INDONESIA,MOLUCCAS ISLANDS,-2.5,127.5,1.2,2,,0.5,,,,,,1,3,
1885,7,29,,,,2,1,6.8,0,INDONESIA,"AJERBANGIS, SUMATRA",0,99.5,,1,,0,,,,,,,,
1885,8,3,,,,3,0,,0,INDONESIA,SULAWESI ISLAND,1.1,124.3,,2,,0,,,,,,,,
1885,11,12,,,,3,1,,0,CHILE,NORTHERN CHILE,-20.2,-70.1,1,1,,0.5,,,,,,,,
1885,11,19,,,,1,9,,0,USA,N. CALIFORNIA,,,,1,,,,,,,,,,
1885,11,24,,,,-1,9,,0,USA,N. CALIFORNIA,,,,2,,,,,,,,,,
1885,12,14,,,,1,1,,0,INDONESIA,BANDA ACEH,5.55,95.3,,1,,,,,,,,,,
1886,1,31,,,,1,1,,0,INDONESIA,BANDA ACEH,5.6,95.3,,1,,,,,,,,,,
1886,6,1,,,,0,4,,0,NEW ZEALAND,"LAKE TARAWERA, NORTH ISLAND",-38.18,176.43,0.3,0,,,,,,,,,,
1886,8,27,21,32,,3,1,7.5,0,GREECE,IONIAN SEA,37.1,21.5,,1,,3,,,,,,,,
1886,8,29,,,,-1,1,,0,CHILE,SC. CHILE,,,,0,,,,,,,,,,
1886,9,1,2,51,0,4,1,7.3,0,USA,"CHARLESTON, SC",32.9,-80,,3,,,,,,,,,,
1886,12,,,,,4,8,,0,NEW ZEALAND,"JACKSON BAY, SOUTH ISLAND",-43.957,168.616,,0,,,,,,,,,,
1886,,,,,,1,1,,0,BANGLADESH,BAY OF BENGAL,,,,0,,,,,,,,,,
1887,2,2,,,,1,1,,0,PHILIPPINES,PANAY ISLAND,10.7,122.6,,1,,,,,,,,2,,
1887,2,5,,,,-1,1,,0,USA,HAWAII,19,-155,,1,,,,,,,,,,
1887,2,23,6,20,,3,1,,0,ITALY,LIGURIAN SEA,43.7,8.1,2,0,,3,,,,,,,,
1887,5,3,9,,,1,3,7.4,0,MEXICO,N. MEXICO,30.8,-109.25,,1,,1,51,,,,,3,,
1887,5,19,,,,1,1,,0,INDONESIA,"SIGLI, ACEH, SUMATRA",5.4,96,,1,,,,,,,,,,
1887,7,8,,,,2,0,,0,USA,N. CALIFORNIA,,,0.06,1,,,,,,,,,,
1887,9,23,12,,,4,1,,0,HAITI,MOLE SAINT-NICOLAS,19.7,-74.4,,4,,,,,,,,,,
1887,10,3,,,,2,1,6.2,0,GREECE,"PELOPONNESUS, GREECE",38.3,22.8,,2,,3,,,,,,,,
1888,3,13,,,,4,7,,1,PAPUA NEW GUINEA,RITTER ISLAND,-5.52,148.121,15,12,3.4,3.5,,,,,,3,,
1888,3,21,,,,1,1,,0,INDONESIA,BREUEH ISLAND,5.8,95,,1,,,,,,,,,,
1888,4,23,,,,4,8,,0,NORWAY,MID-NORWAY,63.433,10.383,7,2,,3,1,,,,,1,,
1888,6,5,,,,1,1,,0,URUGUAY,LA PLATA RIVER,-34.5,-57.9,,0,,,,,,,,,,
1888,6,13,,,,0,1,7.5,0,CHINA,BOHAI GULF,38.5,119,,1,,,,,,,,3,,
1888,7,30,8,27,,2,1,,0,ITALY,LIGURIAN SEA,,,,0,,3,,,,,,,,
1888,9,9,15,4,,4,1,6.1,0,GREECE,GULF OF CORINTH,38.2,22.1,,0,,,,,,,,,,
1889,1,1,,,,1,0,,0,USA,HAWAII,,,,0,,,,,,,,,,
1889,3,8,,,,2,0,,0,TONGA,TONGA,,,11,3,,,,,,,,,,
1889,5,25,18,23,,3,1,6.8,0,PHILIPPINES,MINDORO ISLAND,13.5,121,0.1,1,,-3,,,,,,2,,
1889,8,16,,,,2,0,,0,INDONESIA,JAVA-S. JAVA,-6.05,105.92,,1,,1,,,,,,,,
1889,9,6,12,,,4,1,8,1,INDONESIA,N. MOLUCCAS ISLANDS,1,126.25,4,7,1,2.5,,,,,,2,,
1889,9,8,,,,-1,9,,0,USA,"ASBURY PARK, NJ",,,,0,,,,,,,,,,
1889,9,8,,,,-1,,,0,INDONESIA,MOLUCCAS ISLANDS,,,,0,,,,,,,,,,
1889,11,23,,,,2,1,6,0,INDONESIA,JAVA,-7,113.5,,1,,1,,,,,,,,
1889,12,8,,,,1,1,,0,ITALY,GARGANO PENINSULA,42.05,15.5,,1,,,,,,,,,,
1890,7,11,7,55,,3,1,7.2,0,IRAN,CASPIAN SEA,36.6,54.6,,2,,,171,,,,,3,,
1891,1,15,3,55,,3,1,,0,ALGERIA,SEA OF ALBORAN,36.5,1.8,,1,,,36,,,,,2,75,
1891,5,19,,,,1,1,,0,INDONESIA,"SIGLI, ACEH, SUMATRA",5.4,96,,1,,,,,,,,,,
1891,6,10,,,,3,0,,0,INDONESIA,N. MOLUCCAS ISLANDS,-0.5,127.5,,1,,0.5,,,,,,,,
1891,6,20,,,,3,0,,0,INDONESIA,BANDA SEA,-4,129,,3,,0,,,,,,,,
1891,6,22,23,0,,2,1,,0,NEW ZEALAND,NEW ZEALAND,-37.4,174.4,,1,,,,,,,,,,
1891,7,30,,,,1,2,,0,MEXICO,N. MEXICO,25.5,-103.5,,1,,1,,,,,,,,
1891,9,16,21,30,,2,0,,0,NEW ZEALAND,NEW BRIGHTON,-43.51,172.73,,1,,,,,,,,,,
1891,10,5,,,,3,1,7,0,INDONESIA,TIMOR SEA,-9,124,,1,,0.5,,,,,,,,
1891,11,29,23,21,,3,3,,4,USA,WASHINGTON,48,-123.5,2.44,3,1.3,,,,,,,,,
1892,1,7,,,,-1,6,,0,INDONESIA,"AURI, HALMAHERA",,,,0,,,,,,,,,,
1892,3,27,,,,2,1,,0,CHILE,NORTHERN CHILE,-18.5,-70.35,,1,,,,,,,,1,,
1892,5,10,,,,1,0,,0,URUGUAY,MONTEVIDEO,-34.917,-56.167,,0,,,,,,,,,,
1892,5,16,11,10,,4,1,7.5,0,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,,1,,0.5,,,,,,2,,
1892,5,17,12,10,,3,1,,0,INDONESIA,NORTHEAST SUMATRA,2.5,99.5,,6,,1,,,,,,2,,
1892,6,7,,,,4,6,,0,INDONESIA,"AWU VOLCANO, SANGIHE ISLAND",3.67,125.5,0.75,5,1,1,1532,,,,,3,,
1892,8,30,,,,3,6,,0,TONGA,TOFUA,-19.75,-175.07,,2,,,,,,,,,,
1892,8,,,,,2,0,,0,VANUATU,ESPIRITU SANTO ISLAND,-15.25,166.83,,1,,1.5,,,,,,,,
1892,11,15,11,20,,1,1,,0,ITALY,TYRRHENIAN SEA,40.54,13,,0,,,,,,,,,,
1892,11,18,,,,3,1,7,0,INDONESIA,SERAM ISLAND,-3,127.75,,1,,-1,,,,,,,,
1892,12,9,,,,4,1,6.5,0,JAPAN,SW. HONSHU ISLAND,37,136.8,,2,,0,1,,,,,,2,
1893,1,28,,,,1,0,,0,GREECE,SAMOTHRACE,,,,0,,,,,,,,,,
1893,2,9,,,,4,1,6.5,0,GREECE,SAMOTHRACE,40.5,25.5,1,2,,3,1,,,,,2,,
1893,2,19,,,,2,1,,0,JAMAICA,KINGSTON,17.97,-76.8,,1,,,,,,,,,,
1893,4,17,5,6,,3,1,6.4,0,GREECE,IONIAN SEA,37.7,20.9,,0,,,,,,,,,,
1893,6,4,2,27,0,4,1,7,0,RUSSIA,S. KURIL ISLANDS,43.3,147.5,3,3,1.6,1.5,,,,,,,,
1893,6,13,,,,4,1,6.9,0,JAPAN,"NEMURO, JAPAN",42.5,145.5,,1,,1,,,,,,,,
1893,6,14,,,,2,1,7.5,0,ALBANIA,ALBANIAN COASTS,40.2,19.7,,0,,3,,,,,,3,,
1893,6,21,6,50,,0,1,,0,PHILIPPINES,AGUSAN RIVER,6.9,125.8,,1,,,,,,,,2,,
1893,7,31,,,,1,1,6,0,VANUATU,"PORT VILA, EFATE ISLAND",-17.75,168.3,,1,,0,,,,,,,,
1893,8,27,,,,2,0,,0,VANUATU,"PORT VILA, EFATE ISLAND",-17.75,168.3,,1,,0,,,,,,,,
1894,3,22,10,23,,4,1,7.9,0,JAPAN,SE. HOKKAIDO ISLAND,42.5,146,4,20,2,1.5,1,,,6,,2,,99
1894,4,27,19,21,,4,3,7,1,GREECE,NORTH EVOIKOS GULF,38.7,23.1,3,2,1.6,4,,,,,,,,
1894,5,10,,,,2,0,,0,MEXICO,OFF WEST COAST,25.4,-108.95,6,2,,,,,,,,,,
1894,7,10,12,33,,4,1,6.7,0,TURKEY,MARMARA SEA,40.6,28.7,4.5,3,,3,,,,,,3,,
1894,10,22,8,35,,4,1,7,0,JAPAN,"YAMAGATA, JAPAN",38.9,139.8,,0,-1,-1,726,,,,,,3858,
1894,11,16,18,52,,2,1,,0,ITALY,CALABRIAN ARC,38.3,15.9,,0,,,101,,,,,3,,
1894,11,21,,,,2,0,,0,ATLANTIC OCEAN,ATLANTIC OCEAN,49,-34.5,12.2,1,3.6,,,,,,,,,
